GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,83,2,11,1,20,2,7,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,10,276,2,19,2,80,2,17,0,8
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,27,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,17,45,4,4,7,14,7,6,3,6
parking-system,com.parkit.parkingsystem.model,Ticket,0,52,0,0,0,22,0,15,0,15
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,47,9,4,0,16,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,26,254,0,10,10,65,0,11,0,6
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,13,99,2,2,4,28,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,103,7,6,0,34,2,7,2,4,2
